Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1cmigB9I6IRpFqjIbzvSQB,"1Uff91EOsvd99rtAupatMP,0d6alfZHUx3xoRnPjkTL7Q","Suite bergamasque, L. 75: III. Clair de lune","Debussy: Suite bergamasque, L. 75, 3. Clair de lune","Claude Debussy,Alice Sara Ott",2018-07-27,294960,64,11136072044,2022-05-31T12:01:44Z,"classical,impressionism,post-romantic era",0.335,0.00501,1,-33.366,1,0.0451,0.993,0.919,0.0618,0.0383,132.085,3
0jOnZhF75V68VsBObWx2XO,"436sYg6CZhNefQJogaXeK0,5Dl3HXZjG6ZOWT5cV375lk,7JmDqds7Y1LRSWZVM8e0Og","The Carnival of the Animals, R. 125: XIII. The Swan (Arr. for Cello and Piano)","Songs from the Arc of Life","Camille Saint-Saëns,Yo-Yo Ma,Kathryn Stott",2015-09-18,174266,66,11136072044,2022-05-31T12:01:44Z,"classical,french romanticism,late romantic era",0.169,0.0161,9,-31.034,0,0.0442,0.986,0.86,0.0805,0.0573,128.143,3
7hyq9VKysg8g1L5R0y41dt,"459INk8vcC0ebEef82WjIK,57ziOSBD3x0PhVbl7MXTgI,21fQySiU5oXJndnmB15Nrq,35oIWRMerJ2P1ORtzeUD0N,1ziXHb2jDpxIxQqIckAZ0I","Satie / Orch. Ducros: Gymnopédie No. 1","Emotions - Satie: Gymnopédie No. 1 (Orch. Ducros)","Erik Satie,Gautier Capuçon,Jerome Ducros,Adrien Perruchon,Orchestre de chambre de Paris",2020-07-24,172120,6,11136072044,2022-05-31T12:01:44Z,"classical,early avant garde,early modern classical,impressionism,post-romantic era",0.0921,0.0183,7,-31.858,1,0.0513,0.942,0.94,0.195,0.039,166.979,3
2m2GJpBjQNNphaCgBeoj7R,"25s9H1JQmTu3iuFzpXWUIg","Fracture","Fracture","Stephan Moccio",2020-04-17,207640,65,11136072044,2022-05-31T12:01:44Z,"background piano,neo-classical",0.324,0.0186,2,-28.248,1,0.0476,0.99,0.934,0.105,0.126,85.297,4
2Imxyb3LiuXsDFo7Gq5YDs,"2UqjDAXnDxejEyE0CzfUrZ,7jQSqBxct7Aa8b3GsZFkO4","Kinderszenen, Op. 15: Träumerei (Arr. Lewin for Guitar)","Schumann: Kinderszenen, Op. 15: Träumerei (Arr. Lewin for Guitar)","Robert Schumann,Miloš Karadaglić",2021-04-23,215800,61,11136072044,2022-05-31T12:01:44Z,"classical,early romantic era,german romanticism",0.406,0.00921,2,-31.822,1,0.087,0.984,0.906,0.0953,0.303,80.507,4
6y1FgcqMY76hCk9qLxUuy4,"3z8CWLkgblFxhhDrPMfAZC,0KITXSblhUOftKpIno4cL9,4XNYbiwP1fToWVyvNPTMMK","3 Spirituals for Orchestra: No. 2. Kum Bab Yah","Hailstork: Orchestral Music","Adolphus Hailstork,Virginia Symphony Orchestra,Joann Falletta",2012-06-05,170213,58,11136072044,2022-05-31T12:01:44Z,"african-american classical,american contemporary classical",0.141,0.00268,2,-37.571,0,0.0427,0.945,0.601,0.0756,0.0386,140.372,5
4SsDrt7HV1ECcJ2A7EHfLL,"1vYrIm6O7VtBGszIWe75mB","Filma Solo","Piano Works","Gabríel Ólafs",2020-06-26,195154,54,11136072044,2022-05-31T12:01:44Z,"background piano,neo-classical",0.213,0.0377,10,-33.06,1,0.0475,0.986,0.869,0.139,0.0973,165.763,4
1G3QPQkoXvpChjNUhd6Tfs,"4JSWO1Pf2zV991fq64uAce,0iqgjl0OG3z53PZVIB7ZyD","The Arts and the Hours","Rameau, Ólafsson: The Arts and the Hours","Jean-Philippe Rameau,Víkingur Ólafsson",2020-03-06,285442,60,11136072044,2022-05-31T12:01:44Z,"baroque,classical,early music,french baroque,french opera",0.415,0.026,1,-36.7,1,0.0496,0.995,0.938,0.107,0.268,136.191,4
7nGA1sRfLDWXYb3VPstnZf,"5U827e4jbYz6EjtN0fIDt9,59r5UU2HOytn9V5uMZ5Vur,33cajGDdkhowQ8hiuEucXM,54IIxBw0yvR4zHHxE8GG5d","Notturno for Strings and Harp","Schoenberg: Notturno for Strings and Harp","Arnold Schoenberg,Daniel Hope,Zürcher Kammerorchester,Jane Berthe",2020-01-17,192419,58,11136072044,2022-05-31T12:01:44Z,"austro-german modernism,avant-garde,classical,early modern classical,post-romantic era,serialism",0.0979,0.0801,8,-19.643,1,0.0458,0.941,0.431,0.115,0.0608,75.314,4
2zM7Ato6xDOi8ten4qn7Cm,"2uFUBdaVGtyMqckSeCl0Qj","Natural Light","Natural Light","Ludovico Einaudi",2021-10-29,335542,63,11136072044,2022-05-31T12:01:44Z,"bow pop,compositional ambient,neo-classical",0.218,0.00352,1,-39.627,1,0.0515,0.992,0.951,0.139,0.192,68.61,4
6MNEgJ1z2c7B3GvENV5dcz,"1Uff91EOsvd99rtAupatMP,2hwIoWEOfHGHi6FnS5MvvN","Suite Bergamasque, L. 75: III. Clair de lune","Piano Chillout: 15 Relaxing Classical Pieces","Claude Debussy,Carol Comune",2017-03-03,297698,38,11136072044,2022-05-31T12:02:36Z,"classical,impressionism,post-romantic era",0.347,0.0521,1,-21.792,1,0.0455,0.994,0.905,0.0972,0.0609,168.705,5
5HjfzAFnZCLyrD2XlUFO3c,"67JB9ps4KBT90qPzKyQ3fS","Goodnight Moon","Piano Chillout: 15 Relaxing Classical Pieces","Christopher Ferreira",2017-03-03,157040,17,11136072044,2022-05-31T12:02:36Z,"background piano",0.311,0.0376,1,-23.192,1,0.0504,0.987,0.861,0.114,0.0603,170.537,4
0uPAMXoOv4PMRHec1KyjGp,"25ZHGX152rBqWlYA9C2iVp","Slowly Towards","Piano Chillout: 15 Relaxing Classical Pieces","Chris Snelling",2017-03-03,150000,16,11136072044,2022-05-31T12:02:36Z,"classify",0.55,0.00333,3,-26.173,1,0.104,0.995,0.948,0.173,0.439,66.133,5
2FYaDO9puDvadduqglU73d,"6DIidRzTS95J6etMpSyeg1","Ten Percent","Piano Chillout: 15 Relaxing Classical Pieces","Jorge Segovia",2017-03-03,61258,26,11136072044,2022-05-31T12:02:36Z,"neo-classical",0.463,0.0346,7,-21.712,0,0.0428,0.994,0.949,0.225,0.108,64.905,3
1z8YVvz03YWzMiCe2nWLMz,"2wOqMjp9TyABvtHdOSOTUS,6Nt0thMQrEBbBTasSfkrhG","Piano Sonata No. 14 in C-Sharp Minor, Op. 27, No. 2 ""Moonlight"": I. Adagio sostenuto","Piano Chillout: 15 Relaxing Classical Pieces","Ludwig van Beethoven,Barbara Nissman",2017-03-03,358694,34,11136072044,2022-05-31T12:02:36Z,"classical,classical era,early romantic era,german romanticism",0.337,0.0191,1,-28.908,0,0.0459,0.995,0.874,0.123,0.116,70.886,4
6J7NLwME00N01xxxn6rmAb,"459INk8vcC0ebEef82WjIK,6j72UsuAqGlOse1erEyNOa","3 Gymnopédies: No. 1. Lent et douloureux in D Major","Piano Chillout: 15 Relaxing Classical Pieces","Erik Satie,Pianoramix",2017-03-03,195723,35,11136072044,2022-05-31T12:02:36Z,"classical,early avant garde,early modern classical,impressionism,post-romantic era",0.721,0.0212,7,-25.274,1,0.114,0.995,0.921,0.107,0.302,75.778,3
29l6T1pcuFPAH08hZKnNne,"4RKdwyI9lnEwpawscrfHib","Paola's Theme","Piano Chillout: 15 Relaxing Classical Pieces","Peter Bennborn Project",2017-03-03,100527,16,11136072044,2022-05-31T12:02:36Z,"",0.429,0.0642,9,-19.597,0,0.0452,0.906,0.9,0.0924,0.0988,118.78,4
1yFwH1YPJXaL1Clg9kmj2t,"459INk8vcC0ebEef82WjIK,0BbHILJDz4eN90gbl1mHZj","3 Gymnopédies: No. 3. Lent et grave in A Minor","Piano Chillout: 15 Relaxing Classical Pieces","Erik Satie,Alessandra Celletti",2017-03-03,139508,31,11136072044,2022-05-31T12:02:36Z,"classical,early avant garde,early modern classical,impressionism,post-romantic era",0.461,0.0315,9,-21.857,0,0.0732,0.995,0.914,0.0781,0.125,72.62,3
2G2DtNcgIIrJxDPqKF68Ah,"0fauHpmSHwodVYIjTqOGHz,6j72UsuAqGlOse1erEyNOa","River Flows In You","Piano Chillout: 15 Relaxing Classical Pieces","Yiruma,Pianoramix",2017-03-03,185000,16,11136072044,2022-05-31T12:02:36Z,"korean instrumental,neo-classical,new age piano",0.394,0.165,9,-22.086,1,0.0616,0.986,0.933,0.0952,0.273,136.375,4
1mvEBCRmAnClQuYEWiqHe3,"0sr00YxbHKRAruzYrJ6PEg","Siesta Norteña","Piano Chillout: 15 Relaxing Classical Pieces","Juan María Solare",2017-03-03,165440,22,11136072044,2022-05-31T12:02:36Z,"neo-classical",0.652,0.00685,9,-23.19,0,0.0555,0.993,0.922,0.0781,0.401,61.193,4
3j0BvMfGc2ESufVQMtG19r,"7zwiFdY90oXzLh1Wz22oEq","Japanese Zen Garden","Japanese Zen Garden: Relaxing Oriental Sound and Healing Nature Music for Meditation, Yoga, Study & Sleep","Meditation Music Zone",2016-11-17,247714,33,11136072044,2022-05-31T12:05:26Z,"sleep",0.0958,0.101,4,-28.717,0,0.0342,0.972,0.37,0.118,0.106,167.203,4
